CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	bbbb	São José Do Rio Preto
6/25/2023 12:26:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/881	650000	Jardim São Marco			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:27:41	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Schmitt/18322	400000	Jardim Schmitt			350-400 mil	3	2	200,0	Não	LESTE	Jardim Schmitt, São José Do Rio Preto	
6/25/2023 12:28:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Schmitt/20500	680000	Jardim São Marco			Mais que 400 mil	3	5	379,0	Sim	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:28:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Schmitt/12977	470000	Jardim Schmitt			Mais que 400 mil	3	2	390,0	Não	LESTE	Jardim Schmitt, São José Do Rio Preto	
6/25/2023 12:29:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Seyon/19441	350000	Jardim Seyon			350-400 mil	3	2	360,0	Não	LESTE	Jardim Seyon, São José Do Rio Preto	
6/25/2023 12:30:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Seyon/22438	500000	Jardim Seyon			Mais que 400 mil	3	2	360,0	Não	LESTE	Jardim Seyon, São José Do Rio Preto	
6/25/2023 12:31:21	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Soraia/22770	230000	Jardim Soraya			Até 250 mil	2	1	234,0	Não	LESTE	Jardim Soraya, São José Do Rio Preto	
6/25/2023 12:31:59	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Soraia/21263	390000	Jardim Soraya			350-400 mil	3	2	210,0	Sim	LESTE	Jardim Soraya, São José Do Rio Preto	
6/25/2023 12:32:40	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Soraia/18424	350000	Jardim Soraya			350-400 mil	3	3	288,0	Não	LESTE	Jardim Soraya, São José Do Rio Preto	
6/25/2023 12:33:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Yolanda/19052	590000	Jardim Yolanda			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim Yolanda, São José Do Rio Preto	
